case_id,response_name,value_type,value,record_json
ansys-2094-canary-20260912T205437Z/mudmat,max_seqv_mpa,decimal,38.7149,"{""capture_role"":""retained_reproduction"",""case_id"":""ansys-2094-canary-20260912T205437Z/mudmat"",""dataset_id"":""ansys-retained-evidence"",""response"":{""calculation_status"":""computed"",""definition"":""historical APDL digest field: max_seqv_mpa"",""evidence_ids"":[""retained-native/ansys-2094-canary-20260912T205437Z/mudmat/mudmat_result.csv""],""inherited_findings"":[""broad-review-unresolved"",""original-padeye-force-channel"",""padeye-mesh-sensitivity"",""padeye-shape-warning"",""padeye-model-basis"",""pressure-original-shape"",""pressure-source-authentication"",""pressure-no-response"",""pv-code-basis"",""mudmat-physical-comparator"",""original-golden-source"",""unmapped-finding"",""mudmat-operative-load-comment-disagrees""],""limitations"":[""diagnostic-only"",""inherited-review-unresolved""],""location"":""source digest; spatial qualification unresolved"",""name"":""max_seqv_mpa"",""observed_value"":""38.7149"",""unit"":""MPa"",""value"":""38.7149""},""revision"":""r6"",""row_hash"":""0836a6b9f9fa940c43d7f8dd821334df7d85d2ba7b74091e512e18a341cb1d8d""}"
ansys-2094-canary-20260912T205437Z/mudmat,allowable_mpa,decimal,212.5749,"{""capture_role"":""retained_reproduction"",""case_id"":""ansys-2094-canary-20260912T205437Z/mudmat"",""dataset_id"":""ansys-retained-evidence"",""response"":{""calculation_status"":""computed"",""definition"":""historical APDL digest field: allowable_mpa"",""evidence_ids"":[""retained-native/ansys-2094-canary-20260912T205437Z/mudmat/mudmat_result.csv""],""inherited_findings"":[""broad-review-unresolved"",""original-padeye-force-channel"",""padeye-mesh-sensitivity"",""padeye-shape-warning"",""padeye-model-basis"",""pressure-original-shape"",""pressure-source-authentication"",""pressure-no-response"",""pv-code-basis"",""mudmat-physical-comparator"",""original-golden-source"",""unmapped-finding"",""mudmat-operative-load-comment-disagrees""],""limitations"":[""diagnostic-only"",""inherited-review-unresolved""],""location"":""source digest; spatial qualification unresolved"",""name"":""allowable_mpa"",""observed_value"":""212.5749"",""unit"":""MPa"",""value"":""212.5749""},""revision"":""r6"",""row_hash"":""0836a6b9f9fa940c43d7f8dd821334df7d85d2ba7b74091e512e18a341cb1d8d""}"
ansys-2094-canary-20260912T205437Z/mudmat,uc,decimal,0.18212,"{""capture_role"":""retained_reproduction"",""case_id"":""ansys-2094-canary-20260912T205437Z/mudmat"",""dataset_id"":""ansys-retained-evidence"",""response"":{""calculation_status"":""computed"",""definition"":""historical APDL digest field: uc"",""evidence_ids"":[""retained-native/ansys-2094-canary-20260912T205437Z/mudmat/mudmat_result.csv""],""inherited_findings"":[""broad-review-unresolved"",""original-padeye-force-channel"",""padeye-mesh-sensitivity"",""padeye-shape-warning"",""padeye-model-basis"",""pressure-original-shape"",""pressure-source-authentication"",""pressure-no-response"",""pv-code-basis"",""mudmat-physical-comparator"",""original-golden-source"",""unmapped-finding"",""mudmat-operative-load-comment-disagrees""],""limitations"":[""diagnostic-only"",""inherited-review-unresolved""],""location"":""source digest; spatial qualification unresolved"",""name"":""uc"",""observed_value"":""0.18212"",""unit"":""dimensionless"",""value"":""0.18212""},""revision"":""r6"",""row_hash"":""0836a6b9f9fa940c43d7f8dd821334df7d85d2ba7b74091e512e18a341cb1d8d""}"
ansys-2094-canary-20260912T205437Z/mudmat,peak_node,decimal,20,"{""capture_role"":""retained_reproduction"",""case_id"":""ansys-2094-canary-20260912T205437Z/mudmat"",""dataset_id"":""ansys-retained-evidence"",""response"":{""calculation_status"":""computed"",""definition"":""historical APDL digest field: peak_node"",""evidence_ids"":[""retained-native/ansys-2094-canary-20260912T205437Z/mudmat/mudmat_result.csv""],""inherited_findings"":[""broad-review-unresolved"",""original-padeye-force-channel"",""padeye-mesh-sensitivity"",""padeye-shape-warning"",""padeye-model-basis"",""pressure-original-shape"",""pressure-source-authentication"",""pressure-no-response"",""pv-code-basis"",""mudmat-physical-comparator"",""original-golden-source"",""unmapped-finding"",""mudmat-operative-load-comment-disagrees""],""limitations"":[""diagnostic-only"",""inherited-review-unresolved""],""location"":""source digest; spatial qualification unresolved"",""name"":""peak_node"",""observed_value"":""20"",""unit"":""node_id"",""value"":""20""},""revision"":""r6"",""row_hash"":""0836a6b9f9fa940c43d7f8dd821334df7d85d2ba7b74091e512e18a341cb1d8d""}"
ansys-2094-canary-20260912T205437Z/mudmat,reaction_fz_n,decimal,0.03,"{""capture_role"":""retained_reproduction"",""case_id"":""ansys-2094-canary-20260912T205437Z/mudmat"",""dataset_id"":""ansys-retained-evidence"",""response"":{""calculation_status"":""computed"",""definition"":""historical APDL digest field: reaction_fz_n"",""evidence_ids"":[""retained-native/ansys-2094-canary-20260912T205437Z/mudmat/mudmat_result.csv""],""inherited_findings"":[""broad-review-unresolved"",""original-padeye-force-channel"",""padeye-mesh-sensitivity"",""padeye-shape-warning"",""padeye-model-basis"",""pressure-original-shape"",""pressure-source-authentication"",""pressure-no-response"",""pv-code-basis"",""mudmat-physical-comparator"",""original-golden-source"",""unmapped-finding"",""mudmat-operative-load-comment-disagrees""],""limitations"":[""diagnostic-only"",""inherited-review-unresolved""],""location"":""source digest; spatial qualification unresolved"",""name"":""reaction_fz_n"",""observed_value"":""0.03"",""unit"":""N"",""value"":""0.03""},""revision"":""r6"",""row_hash"":""0836a6b9f9fa940c43d7f8dd821334df7d85d2ba7b74091e512e18a341cb1d8d""}"
ansys-2094-canary-20260912T205437Z/mudmat,q_soil_mpa,decimal,0.088889,"{""capture_role"":""retained_reproduction"",""case_id"":""ansys-2094-canary-20260912T205437Z/mudmat"",""dataset_id"":""ansys-retained-evidence"",""response"":{""calculation_status"":""computed"",""definition"":""historical APDL digest field: q_soil_mpa"",""evidence_ids"":[""retained-native/ansys-2094-canary-20260912T205437Z/mudmat/mudmat_result.csv""],""inherited_findings"":[""broad-review-unresolved"",""original-padeye-force-channel"",""padeye-mesh-sensitivity"",""padeye-shape-warning"",""padeye-model-basis"",""pressure-original-shape"",""pressure-source-authentication"",""pressure-no-response"",""pv-code-basis"",""mudmat-physical-comparator"",""original-golden-source"",""unmapped-finding"",""mudmat-operative-load-comment-disagrees""],""limitations"":[""diagnostic-only"",""inherited-review-unresolved""],""location"":""source digest; spatial qualification unresolved"",""name"":""q_soil_mpa"",""observed_value"":""0.088889"",""unit"":""MPa"",""value"":""0.088889""},""revision"":""r6"",""row_hash"":""0836a6b9f9fa940c43d7f8dd821334df7d85d2ba7b74091e512e18a341cb1d8d""}"
ansys-2094-canary-20260912T205437Z/mudmat,eccentricity_mm,decimal,500,"{""capture_role"":""retained_reproduction"",""case_id"":""ansys-2094-canary-20260912T205437Z/mudmat"",""dataset_id"":""ansys-retained-evidence"",""response"":{""calculation_status"":""computed"",""definition"":""historical APDL digest field: eccentricity_mm"",""evidence_ids"":[""retained-native/ansys-2094-canary-20260912T205437Z/mudmat/mudmat_result.csv""],""inherited_findings"":[""broad-review-unresolved"",""original-padeye-force-channel"",""padeye-mesh-sensitivity"",""padeye-shape-warning"",""padeye-model-basis"",""pressure-original-shape"",""pressure-source-authentication"",""pressure-no-response"",""pv-code-basis"",""mudmat-physical-comparator"",""original-golden-source"",""unmapped-finding"",""mudmat-operative-load-comment-disagrees""],""limitations"":[""diagnostic-only"",""inherited-review-unresolved""],""location"":""source digest; spatial qualification unresolved"",""name"":""eccentricity_mm"",""observed_value"":""500"",""unit"":""mm"",""value"":""500""},""revision"":""r6"",""row_hash"":""0836a6b9f9fa940c43d7f8dd821334df7d85d2ba7b74091e512e18a341cb1d8d""}"
ansys-2094-padeye-20260912T221414Z/coarse,max_seqv_mpa,decimal,174.3327,"{""capture_role"":""original_invalid_reaction_extraction"",""case_id"":""ansys-2094-padeye-20260912T221414Z/coarse"",""dataset_id"":""ansys-retained-evidence"",""response"":{""calculation_status"":""computed"",""definition"":""historical APDL digest field: max_seqv_mpa"",""evidence_ids"":[""retained-native/ansys-2094-padeye-20260912T221414Z/coarse/padeye_result.csv""],""inherited_findings"":[""broad-review-unresolved"",""original-padeye-force-channel"",""padeye-mesh-sensitivity"",""padeye-shape-warning"",""padeye-model-basis"",""pressure-original-shape"",""pressure-source-authentication"",""pressure-no-response"",""pv-code-basis"",""mudmat-physical-comparator"",""original-golden-source"",""unmapped-finding"",""mudmat-operative-load-comment-disagrees""],""limitations"":[""diagnostic-only"",""inherited-review-unresolved""],""location"":""source digest; spatial qualification unresolved"",""name"":""max_seqv_mpa"",""observed_value"":""174.3327"",""unit"":""MPa"",""value"":""174.3327""},""revision"":""r6"",""row_hash"":""f45e2bc435e0f46d7fe6df7349ca7e2ae35b58c4cebabbc704ccb78930c25d50""}"
ansys-2094-padeye-20260912T221414Z/coarse,allowable_mpa,decimal,212.5749,"{""capture_role"":""original_invalid_reaction_extraction"",""case_id"":""ansys-2094-padeye-20260912T221414Z/coarse"",""dataset_id"":""ansys-retained-evidence"",""response"":{""calculation_status"":""computed"",""definition"":""historical APDL digest field: allowable_mpa"",""evidence_ids"":[""retained-native/ansys-2094-padeye-20260912T221414Z/coarse/padeye_result.csv""],""inherited_findings"":[""broad-review-unresolved"",""original-padeye-force-channel"",""padeye-mesh-sensitivity"",""padeye-shape-warning"",""padeye-model-basis"",""pressure-original-shape"",""pressure-source-authentication"",""pressure-no-response"",""pv-code-basis"",""mudmat-physical-comparator"",""original-golden-source"",""unmapped-finding"",""mudmat-operative-load-comment-disagrees""],""limitations"":[""diagnostic-only"",""inherited-review-unresolved""],""location"":""source digest; spatial qualification unresolved"",""name"":""allowable_mpa"",""observed_value"":""212.5749"",""unit"":""MPa"",""value"":""212.5749""},""revision"":""r6"",""row_hash"":""f45e2bc435e0f46d7fe6df7349ca7e2ae35b58c4cebabbc704ccb78930c25d50""}"
ansys-2094-padeye-20260912T221414Z/coarse,uc,decimal,0.8201,"{""capture_role"":""original_invalid_reaction_extraction"",""case_id"":""ansys-2094-padeye-20260912T221414Z/coarse"",""dataset_id"":""ansys-retained-evidence"",""response"":{""calculation_status"":""computed"",""definition"":""historical APDL digest field: uc"",""evidence_ids"":[""retained-native/ansys-2094-padeye-20260912T221414Z/coarse/padeye_result.csv""],""inherited_findings"":[""broad-review-unresolved"",""original-padeye-force-channel"",""padeye-mesh-sensitivity"",""padeye-shape-warning"",""padeye-model-basis"",""pressure-original-shape"",""pressure-source-authentication"",""pressure-no-response"",""pv-code-basis"",""mudmat-physical-comparator"",""original-golden-source"",""unmapped-finding"",""mudmat-operative-load-comment-disagrees""],""limitations"":[""diagnostic-only"",""inherited-review-unresolved""],""location"":""source digest; spatial qualification unresolved"",""name"":""uc"",""observed_value"":""0.8201"",""unit"":""dimensionless"",""value"":""0.8201""},""revision"":""r6"",""row_hash"":""f45e2bc435e0f46d7fe6df7349ca7e2ae35b58c4cebabbc704ccb78930c25d50""}"
